代码,60日最高,当前价,跌幅,符合跌幅>19%,7日横盘,3日量能,3日趋势
sh601881,15.97,12.92,19.1,True,True,0.7,下跌
sh600968,5.8,4.24,26.9,True,True,0.76,下跌
sh603369,35.59,25.71,27.76,True,True,1.03,下跌
sz000690,6.16,4.77,22.56,True,True,0.61,上涨
sz000151,13.98,11.32,19.03,True,True,1.67,下跌
sh600662,6.88,5.1,25.87,True,True,0.93,上涨
sh601688,23.89,19.07,20.18,True,True,0.98,上涨
sh600690,26.49,20.85,21.29,True,True,0.83,下跌
sh600853,5.03,3.96,21.27,True,True,0.61,下跌
sh601991,4.99,3.89,22.04,True,True,0.7,上涨
sh600729,28.77,22.32,22.42,True,True,0.97,上涨
sz002543,10.71,8.5,20.63,True,True,0.52,上涨
sh601669,7.19,5.71,20.58,True,True,1.05,上涨
sh601717,26.14,19.94,23.72,True,True,0.64,下跌
sz002612,21.6,16.95,21.53,True,True,1.28,上涨
sh601319,9.72,7.38,24.07,True,True,0.81,下跌
sh601628,50.7,37.52,26.0,True,True,0.82,下跌
sh601601,46.81,37.34,20.23,True,True,0.92,下跌
sh601336,85.85,64.27,25.14,True,True,1.4,上涨
sh600340,1.91,1.34,29.84,True,False,1.35,下跌
sz000002,5.18,3.96,23.55,True,True,0.9,下跌
sz002146,1.74,1.37,21.26,True,True,0.93,下跌
sz000056,2.43,1.83,24.69,True,True,0.89,下跌
sh600383,3.65,2.84,22.19,True,True,1.19,下跌
sz000826,3.05,1.94,36.39,True,True,1.4,下跌
sz000069,2.87,2.23,22.3,True,True,1.04,下跌
sh600376,6.23,4.88,21.67,True,True,0.84,下跌
sz002634,9.67,5.8,40.02,True,False,1.69,下跌
sh600831,4.9,3.5,28.57,True,True,0.86,下跌
sz002542,3.77,2.05,45.62,True,False,1.72,下跌
sz000016,5.4,3.18,41.11,True,True,0.77,下跌
sz000517,2.41,1.93,19.92,True,True,1.27,下跌
sh600807,3.79,2.94,22.43,True,True,1.1,下跌
sz000761,3.93,3.02,23.16,True,True,0.71,下跌
sz000059,6.9,5.24,24.06,True,True,0.77,下跌
sz000632,5.5,4.43,19.45,True,True,0.43,下跌
sh603359,7.73,5.72,26.0,True,True,0.99,下跌
sh603378,7.36,5.5,25.27,True,True,0.92,上涨
sz000822,7.51,5.91,21.3,True,True,0.68,上涨
sz002129,11.86,8.67,26.9,True,True,0.7,下跌
sz002672,5.22,4.18,19.92,True,True,0.81,下跌
sh600231,2.62,2.1,19.85,True,True,0.99,上涨
sz002022,7.54,5.74,23.87,True,True,1.15,下跌
sz000031,4.1,2.92,28.78,True,True,1.67,下跌
sz000639,3.35,2.14,36.12,True,False,0.68,下跌
sz000759,8.16,5.63,31.0,True,True,1.35,上涨
sz002514,6.27,4.34,30.78,True,True,0.74,下跌
sz002520,7.21,5.67,21.36,True,True,1.49,上涨
sh600121,5.85,4.09,30.09,True,True,0.41,下跌
sz002694,3.87,2.79,27.91,True,True,1.13,下跌
sh600491,3.38,2.26,33.14,True,False,4.06,下跌
sz002425,4.3,3.24,24.65,True,True,1.38,下跌
sh600708,4.7,3.29,30.0,True,True,1.06,下跌
sh600569,2.85,2.16,24.21,True,True,0.76,下跌
sz002291,9.04,6.42,28.98,True,True,0.9,下跌
sh601015,5.88,3.88,34.01,True,True,0.55,下跌
sz000635,10.93,8.12,25.71,True,True,0.86,下跌
sz000665,6.21,4.75,23.51,True,True,1.3,下跌
sz002856,16.55,11.55,30.21,True,False,1.04,下跌
sh600403,7.88,5.67,28.05,True,True,0.65,下跌
sz000802,5.34,3.96,25.84,True,True,1.23,上涨
sz002298,13.6,10.4,23.53,True,True,0.77,上涨
sz001330,13.72,8.23,40.01,True,True,1.89,上涨
sz000545,4.33,3.04,29.79,True,True,0.82,下跌
sz002855,17.0,11.66,31.41,True,True,0.86,下跌
sz000055,4.33,3.44,20.55,True,True,1.08,下跌
sz000838,2.97,1.82,38.72,True,False,2.6,下跌
sh600185,8.28,5.98,27.78,True,True,1.15,上涨
sh601106,6.45,4.22,34.57,True,True,1.18,平盘
sh600052,4.99,3.77,24.45,True,True,1.02,下跌
sh600307,2.51,1.81,27.89,True,True,0.66,下跌
sh600792,5.44,3.92,27.94,True,True,0.41,下跌
sz000078,4.83,3.77,21.95,True,False,1.16,上涨
sz000610,14.0,9.18,34.43,True,True,3.2,上涨
sh600743,3.53,2.69,23.8,True,False,5.04,下跌
sz002682,7.67,5.94,22.56,True,True,0.62,下跌
sh600438,22.0,17.61,19.95,True,True,0.96,下跌
sz002501,2.76,1.84,33.33,True,True,0.97,平盘
sh603421,11.36,8.21,27.73,True,True,0.53,下跌
sz000818,25.9,14.93,42.36,True,False,1.02,上涨
