序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,转手率,开板几日,开板日期,上市日期,是否新高,涨停统计,所属行业
91,301584,建发致新,0.0,26.25,31.5,43971077,1409999981.25,11058823440.0,3.1188855171203613,141,2025-09-25,2025-09-25,否,0/0,医药商业
92,301656,联合动力,-0.9113923907279968,19.57,23.7,135784342,3985019862.69,47061758147.840004,3.4016876220703125,141,2025-09-25,2025-09-25,否,0/0,汽车零部
93,920015,锦华新材,-5.889755725860596,37.39,51.64,134159440,1496065131.6,5068837679.13,9.034709930419922,141,2025-09-25,2025-09-25,否,0/0,化学制品
94,603418,友升股份,1.0367761850357056,51.65,56.23,69587304,2136482209.8,9971985132.6,3.2525265216827393,143,2025-09-23,2025-09-23,否,0/0,汽车零部
95,920022,世昌股份,1.2326656579971313,26.28,33.74,10364459,436642200.0,1585235880.0,2.365549087524414,145,2025-09-19,2025-09-19,否,0/0,汽车零部
96,301575,艾芬达,2.127192974090576,46.57,54.72,46501461,810715521.52,4036221900.0,5.7401838302612305,152,2025-09-10,2025-09-10,否,0/0,家居用品
97,920100,三协电机,2.8649673461914062,48.83,61.71,44036925,955609838.54,3604108119.0,4.56421422958374,154,2025-09-08,2025-09-08,否,0/0,电机Ⅱ
98,603370,华新精科,0.9178743958473206,41.78,45.54,28960087,1461882200.0,7309411000.0,1.9894627332687378,155,2025-09-05,2025-09-05,否,0/0,电机Ⅱ
99,920112,巴兰仕,0.6197707056999207,32.47,41.95,9869792,752752010.0,2755079500.0,1.3151144981384277,161,2025-08-28,2025-08-28,否,0/0,专用设备
100,920056,能之光,0.18107740581035614,22.13,28.71,16576000,682575086.53,1807837321.0,2.41670298576355,165,2025-08-22,2025-08-22,否,0/0,塑料
101,920018,宏远股份,-0.31690141558647156,28.31,36.92,26281988,1251975778.0,3604699956.8399997,2.105262279510498,167,2025-08-20,2025-08-20,否,0/0,电网设备
102,920101,志高机械,0.2920560836791992,34.34,44.51,9350693,955288629.2600001,3061348295.1600003,0.9795482158660889,171,2025-08-14,2025-08-14,否,0/0,工程机械
103,301632,广东建科,1.0747435092926025,20.69,24.56,48071242,1515790780.0,8660006400.0,3.1632306575775146,173,2025-08-12,2025-08-12,否,0/0,专业服务
104,603406,天富龙,-0.1770433783531189,33.83,37.28,22363931,1240293829.6899998,13532338300.0,1.8031537532806396,175,2025-08-08,2025-08-08,否,0/0,化学纤维
105,920007,酉立智能,-2.4892382621765137,52.1,69.45,24208340,554492485.0,2314930645.0,4.378808498382568,175,2025-08-08,2025-08-08,否,0/0,光伏设备
106,301491,汉桑科技,0.9644982218742371,49.2,58.48,37411903,1406305740.0,6346800000.0,2.6535074710845947,177,2025-08-06,2025-08-06,否,0/0,消费电子
107,920005,鼎佳精密,0.8415554761886597,34.75,44.79,7791695,747125000.0,2884250000.0,1.0462372303009033,181,2025-07-31,2025-07-31,否,0/0,消费电子
108,001221,悍高集团,2.738738775253296,57.02,61.05,177668461,2053233180.0,22808570200.0,8.567227363586426,182,2025-07-30,2025-07-30,否,0/0,家居用品
109,301609,山大电力,-0.9429824352264404,45.17,54.72,60358572,1655390160.0,7357289600.0,3.641554832458496,187,2025-07-23,2025-07-23,否,0/0,电网设备
110,603262,技源集团,1.0530421733856201,25.91,28.2,30522671,1036607280.0,10364259100.0,2.9317612648010254,187,2025-07-23,2025-07-23,否,0/0,食品加工
111,600930,华电新能,-1.9077900648117065,6.17,6.92,870658784,19927949955.19,257377143534.08,4.35194730758667,192,2025-07-16,2025-07-16,否,0/0,电力
